,image,label
10820,F:\BaiDuData\data\Imgae\Road03\Record008\Camera 5\171206_030643834_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record008\Camera 5\171206_030643834_Camera_5_bin.png
21400,F:\BaiDuData\data\Imgae\Road04\Record007\Camera 5\171206_055203996_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record007\Camera 5\171206_055203996_Camera_5_bin.png
7548,F:\BaiDuData\data\Imgae\Road03\Record003\Camera 5\171206_030146233_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record003\Camera 5\171206_030146233_Camera_5_bin.png
21904,F:\BaiDuData\data\Imgae\Road04\Record007\Camera 6\171206_055212589_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record007\Camera 6\171206_055212589_Camera_6_bin.png
5327,F:\BaiDuData\data\Imgae\Road02\Record007\Camera 6\170927_064646189_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record007\Camera 6\170927_064646189_Camera_6_bin.png
17022,F:\BaiDuData\data\Imgae\Road04\Record003\Camera 6\171206_054348615_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record003\Camera 6\171206_054348615_Camera_6_bin.png
503,F:\BaiDuData\data\Imgae\Road02\Record002\Camera 5\170927_063942270_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record002\Camera 5\170927_063942270_Camera_5_bin.png
1313,F:\BaiDuData\data\Imgae\Road02\Record003\Camera 5\170927_064108358_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record003\Camera 5\170927_064108358_Camera_5_bin.png
11710,F:\BaiDuData\data\Imgae\Road03\Record008\Camera 5\171206_030853318_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record008\Camera 5\171206_030853318_Camera_5_bin.png
5181,F:\BaiDuData\data\Imgae\Road02\Record007\Camera 6\170927_064620846_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record007\Camera 6\170927_064620846_Camera_6_bin.png
7121,F:\BaiDuData\data\Imgae\Road03\Record003\Camera 5\171206_030050605_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record003\Camera 5\171206_030050605_Camera_5_bin.png
2049,F:\BaiDuData\data\Imgae\Road02\Record004\Camera 5\170927_064249001_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record004\Camera 5\170927_064249001_Camera_5_bin.png
